"";"X";"contributeurs";"isanon";"status_contrib";"total_rev_count";"registration_year"
"1";1;"Borgarde";0;"inscrit";81502;2006
"2";2;"Leeswoo00";0;"inscrit";1369;2008
"3";3;"Luckas-bot";0;"inscrit";929662;2008
"4";4;"Amirobot";0;"inscrit";56602;2008
"5";5;"Severo";0;"inscrit";146773;2006
"6";6;"Addbot";0;"bot";2838809;2008
"7";8;"Djln";0;"inscrit";204354;2005
"8";10;"Seanl617";0;"inscrit";39;2013
"9";12;"FrescoBot";0;"bot";727823;2009
"10";14;"Magioladitis";0;"admin";900475;2006
"11";17;"95.234.223.61";1;"anonyme";39;2014
"12";20;"2601:0:200:62A:D02B:801F:E725:FB7C";1;"anonyme";24;2014
"13";23;"176.239.0.246";1;"anonyme";14;2015
"14";24;"Hugo999";0;"inscrit";449739;2006
"15";25;"Suite613";0;"inscrit";100;2007
"16";26;"Julius_Sahara";0;"inscrit";18364;2005
"17";27;"207.112.122.27";1;"anonyme";2;2007
"18";30;"PeeJay2K3";0;"inscrit";142065;2005
"19";33;"Sennap~enwiki";0;"inscrit";22;2007
"20";36;"Tocino";0;"inscrit";9609;2006
"21";42;"Wild3jeff";0;"inscrit";7;2006
"22";45;"149.135.107.159";1;"anonyme";2;2007
"23";47;"JPMJPMJPMJPM";0;"inscrit";115;2007
"24";49;"Thijs!bot";0;"inscrit";470128;2006
"25";50;"Ed_g2s";0;"admin";26720;2003
"26";51;"81.183.207.34";1;"anonyme";2;2007
"27";52;"86.3.31.64";1;"anonyme";7;2007
"28";54;"KyleRGiggs";0;"inscrit";7311;2007
"29";59;"161.200.255.162";1;"anonyme";313;2003
"30";61;"219.75.19.221";1;"anonyme";2;2007
"31";67;"Arch_dude";0;"inscrit";20843;2006
"32";70;"Chanheigeorge";0;"inscrit";166930;2005
"33";71;"Mjefm";0;"inscrit";12000;2005
"34";72;"86.146.239.6";1;"anonyme";160;2008
"35";75;"Kanabekobaton";0;"inscrit";12301;2005
"36";77;"Jumbuck";0;"inscrit";14218;2004
"37";79;"Otrfan";0;"inscrit";1920;2008
"38";80;"87.57.129.252";1;"anonyme";1;2008
"39";87;"ChrisTheDude";0;"admin";62303;2005
"40";90;"Mr_Hall_of_England";0;"inscrit";51009;2008
"41";94;"Heusie18";0;"inscrit";5059;2006
"42";98;"PigFlu_Oink";0;"inscrit";32092;2009
"43";101;"Jnestorius";0;"inscrit";46461;2004
"44";102;"LaaknorBot";0;"inscrit";122478;2008
"45";105;"VEO15";0;"inscrit";12095;2009
"46";107;"Cydebot";0;"admin";5923314;2006
"47";116;"Wonderwizard";0;"inscrit";13919;2010
"48";120;"94.5.150.232";1;"anonyme";3;2010
"49";122;"114.36.60.29";1;"anonyme";1;2010
"50";124;"Rich_Farmbrough";0;"admin";1422484;2004
"51";134;"HonorTheKing";0;"inscrit";33322;2008
"52";135;"Z";0;"inscrit";NA;NA
"53";136;"Phyo_WP";0;"inscrit";8958;2011
"54";137;"Yobot";0;"bot";4653891;2008
"55";139;"Hybernator";0;"inscrit";18465;2006
"56";142;"Koavf";0;"inscrit";1658317;2005
"57";150;"Fotoriety";0;"inscrit";1585;2011
"58";153;"Work2win";0;"inscrit";4948;2010
"59";158;"Felix_Folio_Secundus";0;"inscrit";115654;2008
"60";159;"AnomieBOT";0;"bot";3118928;2008
"61";165;"Laurence_Watcher";0;"inscrit";114;2013
"62";168;"Frietjes";0;"inscrit";505210;2011
"63";170;"Pigsonthewing";0;"inscrit";182428;2003
"64";173;"194.110.253.122";1;"anonyme";37;2011
"65";179;"Sarah_Tallinn";0;"inscrit";9;2009
"66";181;"Mightymights";0;"inscrit";5676;2011
"67";186;"Tim!";0;"admin";737611;2005
"68";188;"Salai_Pasui";0;"inscrit";1;2015
"69";190;"157.150.192.237";1;"anonyme";2172;2005
"70";192;"58.106.241.221";1;"anonyme";23;2015
"71";200;"183.90.36.5";1;"anonyme";19;2015
"72";210;"Sct72";0;"inscrit";8141;2005
"73";211;"Muffin_Wizard";0;"inscrit";33976;2011
"74";215;"Mar4d";0;"inscrit";71838;2010
"75";217;"157.150.193.1";1;"anonyme";51;2015
"76";223;"Zetsubuobiry";0;"inscrit";22;2016
"77";227;"InternetArchiveBot";0;"bot";1584961;2015
"78";229;"Jpp858";0;"inscrit";14088;2009
"79";230;"EoRdE6";0;"inscrit";10361;2014
"80";232;"Jweiss11";0;"inscrit";234275;2005
"81";236;"206.188.36.124";1;"anonyme";4144;2013
"82";239;"Bigddan11";0;"inscrit";44131;2006
"83";240;"75.172.9.8";1;"anonyme";117;2015
"84";245;"Daoxford1";0;"inscrit";3157;2013
"85";246;"Bsuorangecrush";0;"inscrit";88159;2008
"86";253;"2601:147:C101:67A7:C064:EC01:DF66:3B3F";1;"anonyme";93;2015
"87";255;"Orangetycoon41";0;"inscrit";13564;2015
"88";259;"Fullertonlover1926";0;"inscrit";277;2015
"89";260;"Ccbbws1999";0;"inscrit";19457;2012
"90";264;"66.189.245.128";1;"anonyme";1141;2015
"91";276;"2602:304:CFE1:5189:F491:E876:5ADB:6703";1;"anonyme";8;2015
"92";283;"Akatheflake";0;"inscrit";10393;2010
"93";294;"2601:154:C101:C3DD:781E:B2B:EC64:F0FD";1;"anonyme";65;2015
"94";299;"174.24.221.167";1;"anonyme";1160;2015
"95";307;"Tassedethe";0;"admin";707265;2008
"96";308;"Timrollpickering";0;"admin";162910;2003
"97";309;"BU_RoBOT";0;"bot";346067;2015
"98";311;"Amal-Tallal";0;"inscrit";282;2014
"99";312;"Sufur222";0;"inscrit";22064;2010
"100";313;"Starcheerspeaksnewslostwars";0;"inscrit";243787;2010
"101";315;"Xqbot";0;"bot";1581933;2008
"102";316;"Speedfish";0;"inscrit";11318;2010
"103";320;"2Flows";0;"inscrit";3104;2012
"104";324;"P._S._Burton";0;"inscrit";15286;2007
"105";326;"Richhoncho";0;"inscrit";243090;2006
"106";327;"173.189.245.2";1;"anonyme";16;2010
"107";330;"Gilliam";0;"admin";371673;2005
"108";333;"Efe";0;"admin";33852;2007
"109";335;"89.241.166.214";1;"anonyme";35;2016
"110";337;"125.237.163.213";1;"anonyme";1276;2017
"111";338;"Koala15";0;"inscrit";106560;2012
"112";340;"112.215.66.232";1;"anonyme";10;2016
"113";344;"112.215.66.234";1;"anonyme";9;2017
"114";346;"112.215.66.230";1;"anonyme";10;2017
"115";347;"Adam_Faanes";0;"inscrit";744;2003
"116";348;"Delirium";0;"admin";50090;2003
"117";350;"DigiBullet";0;"inscrit";1778;2003
"118";352;"168.209.98.35";1;"anonyme";4289;2002
"119";353;"CanisRufus";0;"bot";73747;2004
"120";355;"Kbahey";0;"inscrit";770;2004
"121";359;"Timo_Honkasalo";0;"inscrit";2835;2002
"122";360;"129.123.104.6";1;"anonyme";240;2003
"123";362;"TOO";0;"inscrit";4390;2003
"124";363;"24.55.52.169";1;"anonyme";7;2005
"125";372;"Hadal";0;"admin";29637;2003
"126";383;"ASK~enwiki";0;"inscrit";234;2004
"127";384;"Sam_Hocevar";0;"admin";24994;2004
"128";386;"Mel_Etitis";0;"admin";60375;2004
"129";387;"RussBot";0;"bot";1252648;2005
"130";389;"LatinoMuslim";0;"inscrit";5954;2005
"131";390;"213.39.167.88";1;"anonyme";11;2005
"132";391;"134.147.78.32";1;"anonyme";4;2006
"133";392;"Zephyrios";0;"inscrit";47;2005
"134";394;"Anonymous_editor";0;"admin";16633;2005
"135";396;"24.87.64.250";1;"anonyme";5;2006
"136";399;"Spasage";0;"inscrit";7775;2005
"137";401;"Boris_";0;"inscrit";0;2015
"138";402;"Erasmussen";0;"inscrit";10997;2006
"139";403;"Detroiterbot";0;"bot";126164;2007
